lotnum,ytotal,y1,y2,y3,y4,y5,y6,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
Lot258,39,10,7,11,0,8,3,B,B2,B3,B4,C5,B6,A7,B8,A9,B10
Lot259,23,2,11,1,0,2,7,A,B2,E3,B4,C5,B6,B7,B8,A9,B10
Lot260,37,13,16,6,0,0,2,B,B2,E3,B4,C5,B6,D7,B8,A9,B10
Lot261,37,0,24,5,2,1,5,B,B2,A3,B4,C5,B6,B7,B8,B9,B10
Lot262,33,9,17,3,0,3,1,A,B2,A3,B4,C5,B6,B7,B8,A9,B10
Lot263,19,0,5,10,2,0,2,B,B2,A3,B4,C5,B6,B7,B8,B9,A10
Lot264,45,0,25,4,7,2,7,A,B2,A3,B4,C5,B6,B7,B8,B9,B10
Lot265,34,4,21,4,0,5,0,A,B2,E3,B4,C5,B6,B7,B8,A9,B10
Lot266,41,13,6,12,0,5,5,A,A2,B3,B4,C5,C6,B7,B8,A9,B10
Lot267,49,6,8,21,0,7,7,A,A2,B3,B4,C5,C6,B7,B8,A9,B10
Lot268,29,7,9,7,0,3,3,A,B2,E3,B4,C5,B6,B7,B8,A9,B10
Lot269,30,9,2,8,0,5,6,A,A2,B3,B4,C5,B6,A7,B8,A9,B10
Lot270,38,12,3,11,0,8,4,A,A2,B3,B4,C5,B6,A7,B8,A9,B10
Lot271,41,19,10,8,0,1,3,A,B2,A3,B4,C5,B6,A7,B8,A9,B10
Lot272,32,12,12,1,0,0,7,A,B2,A3,B4,C5,C6,A7,B8,A9,B10
Lot273,24,5,12,6,0,0,1,A,B2,A3,B4,C5,B6,A7,B8,A9,B10
Lot274,53,10,6,18,0,10,9,B,A2,B3,B4,C5,B6,A7,B8,A9,B10
Lot275,30,15,15,0,0,0,0,A,B2,E3,B4,B5,B6,D7,B8,A9,B10
Lot276,57,23,7,16,0,5,6,A,B2,A3,B4,C5,C6,A7,B8,A9,B10
Lot277,16,1,8,3,0,3,1,A,B2,E3,B4,C5,B6,B7,B8,A9,B10
Lot278,42,21,15,3,0,0,3,A,B2,A3,B4,C5,C6,A7,B8,A9,B10
Lot279,44,17,3,11,0,11,2,A,A2,B3,B4,C5,C6,B7,B8,A9,B10
Lot280,32,4,8,17,0,1,2,A,A2,A3,B4,C5,C6,B7,B8,A9,B10
Lot281,41,20,4,12,0,1,4,A,A2,A3,B4,C5,C6,A7,B8,A9,B10
Lot282,24,5,11,3,0,4,1,A,B2,E3,B4,C5,B6,B7,B8,A9,B10
Lot283,33,14,13,0,0,1,5,B,B2,A3,B4,C5,B6,A7,B8,A9,B10
Lot284,29,6,15,4,0,3,1,A,B2,E3,B4,C5,B6,B7,B8,A9,B10
Lot285,49,28,21,0,0,0,0,B,A2,E3,B4,C5,B6,D7,B8,A9,B10
