Price,Adj Close,Close,High,Low,Open,Volume
Ticker,000660.KS,000660.KS,000660.KS,000660.KS,000660.KS,000660.KS
Date,,,,,,
2016-03-31,25125.12109375,28150.0,28850.0,28000.0,28700.0,4336581
2016-04-01,25169.75,28200.0,28500.0,28050.0,28450.0,2991431
2016-04-04,24901.982421875,27900.0,28150.0,27800.0,28100.0,2823088
2016-04-05,24857.35546875,27850.0,28100.0,27600.0,27900.0,2032745
2016-04-06,24544.966796875,27500.0,27850.0,27450.0,27550.0,2410844
2016-04-07,24009.439453125,26900.0,27450.0,26750.0,27450.0,4588396
2016-04-08,24812.728515625,27800.0,27800.0,26900.0,26950.0,3718690
2016-04-11,24232.576171875,27150.0,27700.0,27150.0,27600.0,2425426
2016-04-12,24232.576171875,27150.0,27550.0,27100.0,27200.0,1850577
2016-04-14,24321.828125,27250.0,27850.0,27250.0,27600.0,4761215
2016-04-15,24678.84765625,27650.0,27800.0,27350.0,27450.0,2785108
2016-04-18,24277.203125,27200.0,28150.0,27200.0,28000.0,3861103
2016-04-19,24500.341796875,27450.0,27550.0,27350.0,27500.0,1843729
2016-04-20,24589.59375,27550.0,28000.0,27500.0,27500.0,3231788
2016-04-21,24589.59375,27550.0,27950.0,27500.0,27700.0,2999400
2016-04-22,24544.966796875,27500.0,27800.0,27350.0,27450.0,1556764
2016-04-25,24544.966796875,27500.0,27800.0,27350.0,27650.0,1506644
2016-04-26,26017.662109375,29150.0,29200.0,27550.0,27550.0,7750203
2016-04-27,26017.662109375,29150.0,29750.0,29000.0,29300.0,6213757
2016-04-28,24901.982421875,27900.0,29150.0,27850.0,29100.0,6766879
2016-04-29,25125.12109375,28150.0,28250.0,27500.0,27700.0,2878692
2016-05-02,24857.35546875,27850.0,28300.0,27750.0,27950.0,1306092
2016-05-03,24678.84765625,27650.0,28100.0,27650.0,27950.0,1373116
2016-05-04,23786.3046875,26650.0,27500.0,26500.0,27450.0,4388484
2016-05-09,22983.015625,25750.0,26550.0,25700.0,26150.0,5185089
2016-05-10,23563.16796875,26400.0,26400.0,25750.0,25750.0,2564593
2016-05-11,23384.66015625,26200.0,26550.0,26100.0,26500.0,1735332
2016-05-12,23295.404296875,26100.0,26250.0,25850.0,26050.0,1759282
2016-05-13,23295.404296875,26100.0,26250.0,25900.0,26100.0,1849910
2016-05-16,23295.404296875,26100.0,26300.0,25900.0,26100.0,1337159
2016-05-17,23116.892578125,25900.0,26300.0,25900.0,26250.0,1545947
2016-05-18,23384.66015625,26200.0,26400.0,25650.0,25800.0,2474774
2016-05-19,23741.67578125,26600.0,26900.0,26400.0,26750.0,4367007
2016-05-20,23473.912109375,26300.0,26650.0,26250.0,26600.0,2245019
2016-05-23,24277.203125,27200.0,27450.0,26650.0,26800.0,4534043
2016-05-24,23964.8125,26850.0,27350.0,26700.0,27350.0,2428278
2016-05-25,24143.322265625,27050.0,27450.0,26950.0,27450.0,2250906
2016-05-26,24098.6953125,27000.0,27200.0,26850.0,27150.0,1938084
2016-05-27,25571.388671875,28650.0,28750.0,27150.0,27200.0,7719656
2016-05-30,25883.78125,29000.0,29400.0,28650.0,28850.0,5492886
2016-05-31,25616.013671875,28700.0,29000.0,28200.0,28650.0,5414611
2016-06-01,25437.505859375,28500.0,29000.0,28400.0,28850.0,3630711
2016-06-02,25035.86328125,28050.0,29050.0,28000.0,28600.0,3443745
2016-06-03,24634.220703125,27600.0,28450.0,27400.0,28150.0,3680988
2016-06-07,25571.388671875,28650.0,28750.0,27650.0,27700.0,4435065
2016-06-08,25482.13671875,28550.0,29300.0,28450.0,29050.0,3940058
2016-06-09,25883.78125,29000.0,29400.0,28650.0,28700.0,5336122
2016-06-10,25883.78125,29000.0,29200.0,28700.0,29150.0,2413698
2016-06-13,25303.625,28350.0,28700.0,28000.0,28650.0,2607031
2016-06-14,25928.408203125,29050.0,29300.0,28150.0,28150.0,3490535
2016-06-15,26731.69921875,29950.0,30150.0,29300.0,29350.0,5751526
2016-06-16,26463.93359375,29650.0,30400.0,29350.0,30250.0,3687253
2016-06-17,25883.78125,29000.0,30000.0,28750.0,30000.0,2891783
